  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
433570 99999 201701140300 050   9 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   78   65 1014.3 ***** ******  93  72 ***** ***** ***** ***** ** 
433570 99999 201701170300 070  15 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   77   62 1016.1 ***** ******  94  71 ***** ***** ***** ***** ** 
433570 99999 201701171200 ***   0 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   93   54 1009.6 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201701180300 070  13 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   77   60 1015.5 ***** ******  94  69 ***** ***** ***** ***** ** 
433570 99999 201701190300 070  14 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   77   59 1016.0 ***** ******  93  73 ***** ***** ***** ***** ** 
433570 99999 201701200300 070  16 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   80   64 1016.1 ***** ******  92  72 ***** ***** ***** ***** ** 
433570 99999 201701210300 050   8 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   82   67 1014.4 ***** ******  96  76 ***** ***** ***** ***** ** 
433570 99999 201701230300 050   9 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   80   61 1016.2 ***** ******  94  77 ***** ***** ***** ***** ** 
433570 99999 201701240300 070  14 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   83   55 1014.8 ***** ******  96  78 ***** ***** ***** ***** ** 
433570 99999 201701250300 050  20 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   79   62 1015.5 ***** ******  96  78 ***** ***** ***** ***** ** 
433570 99999 201701260300 050   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   88   59 1010.1 ***** ******  90 *** ***** ***** ***** ***** ** 
433570 99999 201701261200 050   5 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   85   69 1011.6 ***** ******  90 *** ***** ***** ***** ***** ** 
433570 99999 201701280300 020   8 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   81   71 1012.3 ***** ******  94  78 ***** ***** ***** ***** ** 
433570 99999 201701300300 050   8 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   83   71 1014.3 ***** ******  94  78 ***** ***** ***** ***** ** 
433570 99999 201701310300 070  16 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   79   64 1013.1 ***** ******  96  76 ***** ***** ***** ***** ** 
433570 99999 201701311200 290   3 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   70 1010.5 ***** ******  99 *** ***** ***** ***** ***** ** 
433570 99999 201702010300 050  14 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   78   66 1014.2 ***** ******  99  75 ***** ***** ***** ***** ** 
433570 99999 201702011200 020   1 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   94   51 1010.3 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201702020300 ***   0 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   79   62 1016.0 ***** ******  96  71 ***** ***** ***** ***** ** 
433570 99999 201702040300 070   6 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   78   62 1014.4 ***** ******  94  73 ***** ***** ***** ***** ** 
433570 99999 201702060300 050  14 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   78   64 1016.2 ***** ******  95  72 ***** ***** ***** ***** ** 
433570 99999 201702061200 030   5 *** *** SCT * * *  0.1 ** ** ** ** ** ** ** ** * ****   71 1010.1 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201702080300 050   5 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   80   64 1014.7 ***** ******  97  73 ***** ***** ***** ***** ** 
433570 99999 201702081200 230   2 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   87   63 1009.9 ***** ******  98 *** ***** ***** ***** ***** ** 
433570 99999 201702090300 110  11 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   79   53 1013.8 ***** ******  98  73 ***** ***** ***** ***** ** 
433570 99999 201702100300 050  15 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   77   62 1013.7 ***** ******  97  73 ***** ***** ***** ***** ** 
433570 99999 201702101200 020   1 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   88   69 1008.4 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201702110300 050  10 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   79   61 1013.6 ***** ******  97  74 ***** ***** ***** ***** ** 
433570 99999 201702130300 070  16 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   79   60 1015.8 ***** ******  96  73 ***** ***** ***** ***** ** 
433570 99999 201702140300 050   9 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   83   65 1016.3 ***** ******  95  74 ***** ***** ***** ***** ** 
433570 99999 201702160300 020  17 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   81   57 1014.6 ***** ******  97  78 ***** ***** ***** ***** ** 
433570 99999 201702170300 050  10 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   80   52 1015.9 ***** ******  96  75 ***** ***** ***** ***** ** 
433570 99999 201702171200 050   6 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   92   46 1008.7 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201702180300 070   6 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   78   52 1016.8 ***** ******  96  70 ***** ***** ***** ***** ** 
433570 99999 201702181200 050   1 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   95   37 1010.2 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201702210300 ***   0 *** *** BKN * * *  2.5 ** ** ** ** ** ** ** ** *   80   75 1013.2 ***** ******  91  75 ***** ***** ***** ***** ** 
433570 99999 201702211200 230   1 *** *** SCT * * *  2.5 ** ** ** ** ** ** ** ** *   88   74 1007.9 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201702231200 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   75 1009.1 ***** ****** 101 *** ***** ***** ***** ***** ** 
433570 99999 201702250300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   82   72 1013.9 ***** ****** 101  74 ***** ***** ***** ***** ** 
433570 99999 201702251200 230   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   75 1010.4 ***** ****** 103 *** ***** ***** ***** ***** ** 
433570 99999 201702261200 160   2 *** *** BKN * * *  2.5 ** ** ** ** ** ** ** ** *   85   76 1008.0 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201702270300 050   9 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   84   62 1012.1 ***** ******  97  76 ***** ***** ***** ***** ** 
433570 99999 201702280300 070   8 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   82   59 1013.7 ***** ******  99  75 ***** ***** ***** ***** ** 
433570 99999 201702281200 050   2 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   96   57 1007.0 ***** ****** 100 *** ***** ***** ***** ***** ** 
433570 99999 201703010300 050   3 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   81   62 1012.5 ***** ****** 100  77 ***** ***** ***** ***** ** 
433570 99999 201703021200 050   3 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   94   62 1006.5 ***** ******  99 *** ***** ***** ***** ***** ** 
433570 99999 201703031200 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   88   69 1006.3 ***** ******  98 *** ***** ***** ***** ***** ** 
433570 99999 201703041200 ***   0 *** *** *** * * *  2.5 21 ** ** ** ** ** ** ** 9   78   76 1007.2 ***** ******  99 *** ***** ***** *****  0.08 ** 
433570 99999 201703061200 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   85   74 1007.7 ***** ******  90 *** ***** ***** *****  0.02 ** 
433570 99999 201703070300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   84   75 1010.1 ***** ******  90  75 ***** *****  0.02 ***** ** 
433570 99999 201703071200 290   3 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   90   73 1006.2 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201703090300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   83   74 1008.7 ***** ******  97  77 ***** ***** ***** ***** ** 
433570 99999 201703091200 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   90   76 1006.2 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201703101200 200   2 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   89   71 1007.0 ***** ******  95 *** ***** ***** ***** ***** ** 
433570 99999 201703110300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   83   72 1012.3 ***** ******  95  74 ***** ***** ***** ***** ** 
433570 99999 201703120300 ***   0 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   83   71 1013.8 ***** ******  95  73 ***** ***** ***** ***** ** 
433570 99999 201703130300 ***   0 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   84   69 1012.6 ***** ******  94  73 ***** ***** ***** ***** ** 
433570 99999 201703131200 320   1 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   87   72 1009.1 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201703141200 200   1 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   74 1008.4 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201703150300 050   1 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   81   76 1013.8 ***** ******  97  76 ***** *****  0.31 ***** ** 
433570 99999 201703151200 200   1 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   83   74 1009.1 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201703160300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   79   76 1013.5 ***** ******  97  74 ***** *****  0.08 ***** ** 
433570 99999 201703171200 320   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   75 1009.8 ***** ******  93 *** ***** ***** ***** ***** ** 
433570 99999 201703180300 ***   0 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   84   76 1014.7 ***** ******  93  76 ***** ***** ***** ***** ** 
433570 99999 201703190300 ***   0 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   84   75 1013.9 ***** ******  94  76 ***** ***** ***** ***** ** 
433570 99999 201703201200 230   1 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   73 1010.6 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201703211200 290   2 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   72 1010.4 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201703221200 230   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   77 1008.7 ***** ****** 100 *** ***** ***** ***** ***** ** 
433570 99999 201703240300 ***   0 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   86   76 1012.3 ***** ****** 100  77 ***** ***** ***** ***** ** 
433570 99999 201703241200 200   2 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   73 1007.8 ***** ****** 102 *** ***** ***** ***** ***** ** 
433570 99999 201703251200 250   1 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   75 1009.3 ***** ****** 101 *** ***** ***** ***** ***** ** 
433570 99999 201703260300 320   5 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   86   76 1013.1 ***** ****** 101  78 ***** ***** ***** ***** ** 
433570 99999 201703270300 110   5 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   85   77 1013.3 ***** ****** 104  78 ***** ***** ***** ***** ** 
433570 99999 201703271200 320   1 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   75 1008.6 ***** ****** 102 *** ***** ***** ***** ***** ** 
433570 99999 201703291200 290   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   88   75 1010.4 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201703300300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   86   76 1010.6 ***** ******  96  79 ***** ***** ***** ***** ** 
433570 99999 201703301200 250   2 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   91   74 1008.0 ***** ******  99 *** ***** ***** ***** ***** ** 
433570 99999 201703310300 070   6 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   87   75 1014.7 ***** ******  99  78 ***** ***** ***** ***** ** 
433570 99999 201703311200 230   5 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   76 1009.4 ***** ****** 103 *** ***** ***** ***** ***** ** 
433570 99999 201704010300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   85   77 1014.5 ***** ****** 103  79 ***** ***** ***** ***** ** 
433570 99999 201704021200 140   2 *** *** BKN * * *  2.5 ** ** ** ** ** ** ** ** *   89   77 1007.9 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201704030300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   86   76 1012.7 ***** ******  96  80 ***** ***** ***** ***** ** 
433570 99999 201704031200 020   2 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   89   74 1008.7 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201704040300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   86   76 1013.3 ***** ******  96  78 ***** ***** ***** ***** ** 
433570 99999 201704041200 230   2 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   89   76 1009.5 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201704050300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   86   78 1012.9 ***** ******  96  80 ***** ***** ***** ***** ** 
433570 99999 201704051200 160   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   89   77 1008.5 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201704060300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   86   77 1011.2 ***** ******  97  80 ***** ***** ***** ***** ** 
433570 99999 201704070300 ***   0 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   85   74 1012.3 ***** ******  97  78 ***** ***** ***** ***** ** 
433570 99999 201704071200 230   5 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   89   75 1007.1 ***** ******  98 *** ***** ***** ***** ***** ** 
433570 99999 201704080300 ***   0 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   86   77 1010.8 ***** ******  98  78 ***** ***** ***** ***** ** 
433570 99999 201704081200 230   1 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   90   79 1006.7 ***** ******  98 *** ***** ***** ***** ***** ** 
433570 99999 201704100300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   77 1010.9 ***** ******  98  80 ***** ***** ***** ***** ** 
433570 99999 201704110300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   86   77 1010.1 ***** ******  97  79 ***** ***** ***** ***** ** 
433570 99999 201704111200 300   1 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   74 1006.6 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201704121200 230   2 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   77 1007.2 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201704130300 ***   0 *** *** BKN * * *  2.5 ** ** ** ** ** ** ** ** *   85   79 1011.2 ***** ******  96  80 ***** ***** ***** ***** ** 
433570 99999 201704131200 ***   0 *** *** BKN * * *  6.2 21 ** ** ** ** ** ** ** 2   74   74 1007.9 ***** ******  95 *** ***** ***** *****  0.75 ** 
433570 99999 201704140300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   82   76 1012.6 ***** ******  95  80 ***** *****  0.75 ***** ** 
433570 99999 201704151200 200   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   76 1006.5 ***** ******  95 *** ***** ***** ***** ***** ** 
433570 99999 201704160300 ***   0 *** 722 SCT * * *  2.5 ** ** ** ** ** ** ** ** *   85   79 1010.0 ***** ******  95  79 ***** ***** ***** ***** ** 
433570 99999 201704180300 ***   0 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   85   77 1012.6 ***** ******  95  78 ***** ***** ***** ***** ** 
433570 99999 201704181200 250   2 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   89   74 1007.6 ***** ******  95 *** ***** ***** ***** ***** ** 
433570 99999 201704190300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   86   76 1012.5 ***** ******  95  81 ***** ***** ***** ***** ** 
433570 99999 201704191200 230   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   89   77 1007.7 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201704200300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   78 1012.6 ***** ******  94  80 ***** ***** ***** ***** ** 
433570 99999 201704201200 230   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   89   75 1007.8 ***** ******  95 *** ***** ***** ***** ***** ** 
433570 99999 201704211200 230   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   88   73 1008.9 ***** ******  93 *** ***** ***** ***** ***** ** 
433570 99999 201704220300 230   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   86   75 1012.2 ***** ******  93  76 ***** ***** ***** ***** ** 
433570 99999 201704221200 250   3 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   88   75 1008.0 ***** ******  95 *** ***** ***** *****  0.02 ** 
433570 99999 201704230300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   78 1011.9 ***** ******  95  78 ***** *****  0.02 ***** ** 
433570 99999 201704241200 ***   0 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   91   71 1007.6 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201704250300 ***   0 *** *** BKN * * *  2.5 ** ** ** ** ** ** ** ** *   85   78 1012.3 ***** ******  97  79 ***** ***** ***** ***** ** 
433570 99999 201704251200 250   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   90   74 1007.5 ***** ******  95 *** ***** ***** ***** ***** ** 
433570 99999 201704271200 230   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   89   77 1008.3 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201704280300 290   3 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   78 1013.5 ***** ******  96  78 ***** ***** ***** ***** ** 
433570 99999 201704281200 230   2 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   76 1007.7 ***** ******  98 *** ***** ***** ***** ***** ** 
433570 99999 201704291200 230   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   86   66 1008.8 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201704300300 340   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   88   76 1011.3 ***** ******  97  76 ***** ***** ***** ***** ** 
433570 99999 201704301200 230   3 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   91   77 1006.6 ***** ****** 101 *** ***** ***** ***** ***** ** 
433570 99999 201705010300 ***   0 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   86   76 1011.3 ***** ****** 101  78 ***** ***** ***** ***** ** 
433570 99999 201705011200 230   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   90   75 1010.5 ***** ******  97 *** ***** ***** *****  0.04 ** 
433570 99999 201705020300 020   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   81   71 1013.9 ***** ******  97  73 ***** *****  0.35 ***** ** 
433570 99999 201705031200 020   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   88   77 1009.5 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201705050300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   78 1012.0 ***** ******  96  79 ***** ***** ***** ***** ** 
433570 99999 201705060300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   88   78 1013.1 ***** ******  97  80 ***** ***** ***** ***** ** 
433570 99999 201705061200 200   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   91   78 1009.3 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201705070300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   85   76 1012.9 ***** ******  97  78 ***** ***** ***** ***** ** 
433570 99999 201705080300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   82   73 1012.8 ***** ******  98  74 ***** *****  0.04 ***** ** 
433570 99999 201705081200 230   1 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   73 1008.1 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201705090300 050   1 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   77 1012.6 ***** ******  96  78 ***** ***** ***** ***** ** 
433570 99999 201705091200 050   2 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   89   74 1007.1 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201705100300 ***   0 *** *** BKN * * *  2.5 ** ** ** ** ** ** ** ** *   85   77 1011.1 ***** ******  94  78 ***** ***** ***** ***** ** 
433570 99999 201705101200 250   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   91   78 1006.7 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201705111200 250   1 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   85   77 1007.3 ***** ******  92 *** ***** ***** ***** ***** ** 
433570 99999 201705120300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   77 1010.9 ***** ******  92  78 ***** ***** ***** ***** ** 
433570 99999 201705121200 230   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   89   79 1006.3 ***** ******  97 *** ***** ***** ***** ***** ** 
433570 99999 201705130300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   80   75 1010.2 ***** ******  97  73 ***** *****  0.55 ***** ** 
433570 99999 201705131200 230   2 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   76 1006.3 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201705140300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   78 1010.1 ***** ******  96  78 ***** ***** ***** ***** ** 
433570 99999 201705150300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   84   78 1010.8 ***** ******  96  80 ***** ***** ***** ***** ** 
433570 99999 201705151200 320   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   90   74 1007.5 ***** ******  93 *** ***** ***** ***** ***** ** 
433570 99999 201705160300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   79 1009.7 ***** ******  93  79 ***** ***** ***** ***** ** 
433570 99999 201705161200 110   2 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   89   78 1006.5 ***** ******  96 *** ***** ***** ***** ***** ** 
433570 99999 201705180300 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   87   80 1009.8 ***** ******  96  80 ***** ***** ***** ***** ** 
433570 99999 201705181200 ***   0 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   81   71 1008.3 ***** ******  95 *** ***** ***** ***** ***** ** 
433570 99999 201705190300 ***   0 *** 722 SCT * * *  6.2 ** ** ** ** ** ** ** ** *   82   76 1011.1 ***** ******  95  75 ***** *****  0.63 ***** ** 
