date	TRF	M.Min	M.Max
1976-09-01	94.5	25.7	34
1976-10-01	235.6	25.4	31.2
1976-11-01	610.8	24.3	29.3
1976-12-01	369.6	23.6	28.2
1977-01-01	23.6	22.2	28.1
1977-02-01	19.6	24.3	28.9
1977-03-01	26.4	25.8	30.3
1977-04-01	0	27	32.9
1977-05-01	70.4	27.1	34.7
1977-06-01	146.9	26.8	36
1977-07-01	77.8	26.9	35.9
1977-08-01	72.6	25.6	34.5
1977-09-01	70.8	25.9	34.4
1977-10-01	441.1	24.9	29.9
1977-11-01	836	24.8	29.6
1977-12-01	40	23.3	28.4
1978-01-01	7.2	23.6	28.2
1978-02-01	0.5	24.6	28.7
1978-03-01	0	25.4	31.3
1978-04-01	94.1	27.1	33.7
1978-05-01	1.2	28.1	36
1978-06-01	16.2	27.7	36.8
1978-07-01	184.2	26.3	35.7
1978-08-01	6.1	26.1	35
1978-09-01	100.6	25.4	34
1978-10-01	255.8	25.1	32.1
1978-11-01	483	24.7	29.8
1978-12-01	519.9	23.7	28.2
1979-01-01	1.1	23.3	28.2
1979-02-01	4.7	24.9	30.1
1979-03-01	34.7	25.3	31.4
1979-04-01	0	27	33.9
1979-05-01	25.6	27.6	36.7
1979-06-01	42.7	27.7	38
1979-07-01	0.1	27.2	36.6
1979-08-01	61.8	26.3	35.5
1979-09-01	178	25.3	32.4
1979-10-01	223	25.3	31.7
1979-11-01	582.6	24.5	29.2
1979-12-01	322.3	23.5	29
1980-01-01	16.7	22.2	28.7
1980-02-01	0	23.4	29.3
1980-03-01	0	25.1	30.9
1980-04-01	14.6	27.7	32.7
1980-05-01	17.8	28.4	36.7
1980-06-01	35	27.5	37.2
1980-07-01	12.4	26.9	36.6
1980-08-01	13.5	26.4	35.1
1980-09-01	53.4	26.3	34.6
1980-10-01	285.3	25.1	32
1980-11-01	273.2	24.3	29.3
1980-12-01	178	23.2	28.7
1981-01-01	66.6	22.5	28.2
1981-02-01	0.2	22.5	29
1981-03-01	0	25.7	31
1981-04-01	1	27.6	34.1
1981-05-01	23.9	27.5	36.2
1981-06-01	2.2	27.7	36.8
1981-07-01	96.7	26.3	35.7
1981-08-01	19	26.2	35
1981-09-01	150.6	24.9	32.6
1981-10-01	540.6	25.1	31.4
1981-11-01	301.8	23.8	29.5
1981-12-01	276.5	22.8	28.3
1982-01-01	0.8	22.7	28.5
1982-02-01	0	23.6	29.3
1982-03-01	1.1	25.4	30.8
1982-04-01	74.9	27.3	33.1
1982-05-01	26.8	27.6	35.2
1982-06-01	112.1	26.7	36.6
1982-07-01	15.2	27	36.4
1982-08-01	0.3	26.7	36.1
1982-09-01	46	26.1	34.9
1982-10-01	219.1	25.8	31.8
1982-11-01	501.8	25.1	29.6
1982-12-01	188.7	24.1	28.3
1983-01-01	0	22.3	28.3
1983-02-01	0	24.3	30.3
1983-03-01	0	25.5	32.1
1983-04-01	0	27.5	33.5
1983-05-01	80.1	28.4	35.8
1983-06-01	0	28.4	37.7
1983-07-01	73.8	27.3	36.7
1983-08-01	195.1	26.4	35.5
1983-09-01	190.7	25.5	33.2
1983-10-01	187.8	25.5	32.5
1983-11-01	163.9	23.8	29.5
1983-12-01	490	23.9	27.9
1984-01-01	110.4	24.1	27.8
1984-02-01	331.6	24.3	28.1
1984-03-01	56.8	25.1	30.3
1984-04-01	38	27	32.9
1984-05-01	0	28.1	35.7
1984-06-01	29.2	27.3	37.5
1984-07-01	157.4	25.7	34.2
1984-08-01	12	26	35.4
1984-09-01	139.4	25.1	32.5
1984-10-01	21.9	24.8	32.2
1984-11-01	437	23.8	29.1
1984-12-01	179.1	22.7	28.4
1985-01-01	50.3	23.8	28.1
1985-02-01	4.6	23.8	29.3
1985-03-01	0	25.8	31.7
1985-04-01	0.6	27.6	34.9
1985-05-01	0	28.4	36.9
1985-06-01	64.8	26.2	36
1985-07-01	94.9	25.7	35.2
1985-08-01	147.4	25.6	35.4
1985-09-01	75.5	25.5	33.9
1985-10-01	144.1	25.1	32.2
1985-11-01	600	23.4	29.2
1985-12-01	187.8	23.9	28.5
1986-01-01	268.7	23	27.6
1986-02-01	19.8	23.9	28.9
1986-03-01	53.9	25.7	30.8
1986-04-01	17	27.1	32.5
1986-05-01	15.5	27.3	37.1
1986-06-01	10.6	27.5	37.3
1986-07-01	23.6	27.1	36.5
1986-08-01	134.8	25.8	34.8
1986-09-01	102.6	25.7	34.7
1986-10-01	141.6	25.2	31.8
1986-11-01	187.5	23.6	30
1986-12-01	225.3	24.1	28.8
1987-01-01	66.4	23.3	28.8
1987-02-01	0	23	28.8
1987-03-01	40.6	25.2	30.8
1987-04-01	7.1	27.2	33.9
1987-05-01	10.8	27.9	34.4
1987-06-01	49	27.7	37.9
1987-07-01	3.5	27.2	36.8
1987-08-01	64.1	26.6	36.1
1987-09-01	71.8	26.6	34.7
1987-10-01	514.2	25.1	31.4
1987-11-01	236.5	24.7	30.8
1987-12-01	274.1	24.2	28.9
1988-01-01	8.9	23	28.5
1988-02-01	0	24	29.8
1988-03-01	38.3	26.8	32.2
1988-04-01	121.7	26.5	32.5
1988-05-01	0.1	28.6	38
1988-06-01	22.1	27.2	36.5
1988-07-01	28.9	26.6	35.3
1988-08-01	126.8	25.9	34.7
1988-09-01	53.5	25.7	33.7
1988-10-01	37	26.1	33
1988-11-01	706	23.1	29
1988-12-01	62.7	23.2	28.8
1989-01-01	23.4	22.8	28.2
1989-02-01	0	21.1	28.8
1989-03-01	1.4	24.6	30.9
1989-04-01	1.2	26.5	33.4
1989-05-01	21.6	27.9	36.7
1989-06-01	5.2	27.1	36.6
1989-07-01	151.4	25.6	34.2
1989-08-01	110.9	25.9	35.7
1989-09-01	117.3	25.4	34.3
1989-10-01	94	25	32.8
1989-11-01	563	23.6	29.5
1989-12-01	129.5	22.9	29
1990-01-01	71.5	21	28.7
1990-02-01	0.4	23.9	31.2
1990-03-01	74.6	25.3	31.9
1990-04-01	0	27	33.8
1990-05-01	140.3	26.4	35.1
1990-06-01	7.3	26.5	37.7
1990-07-01	22.2	26.4	36.7
1990-08-01	165.4	25.6	35
1990-09-01	130.2	25.1	34.5
1990-10-01	415.8	25	31.4
1990-11-01	188.1	24.3	30.5
1990-12-01	125.3	23.6	29.3
1991-01-01	103.4	23.3	29.2
1991-02-01	0.8	22.4	30.1
1991-03-01	0.3	24.5	31.4
1991-04-01	3.5	26.5	34
1991-05-01	0	28.7	36.1
1991-06-01	189.7	26.5	35
1991-07-01	13.2	26.6	36.6
1991-08-01	85.4	25.8	35
1991-09-01	107.4	25.7	34.5
1991-10-01	216.2	25	31.7
1991-11-01	620.2	24.2	29.7
1991-12-01	188.8	22.7	29.1
1992-01-01	3.6	21.1	28.8
1992-02-01	0	21.7	29.4
1992-03-01	0	20.8	30.7
1992-04-01	1.8	26	33.4
1992-05-01	12.2	27.1	35.2
1992-06-01	3.3	27.2	37.4
1992-07-01	8.2	26.3	36.3
1992-08-01	76.4	25.7	35.7
1992-09-01	88.7	25.3	34.3
1992-10-01	136.9	24.8	31.7
1992-11-01	343	24.7	30.1
1992-12-01	151.5	22.5	29.1
1993-01-01	0	20.8	29
1993-02-01	0.2	22.1	30.3
1993-03-01	2.5	24.4	31.9
1993-04-01	0	25.9	32.7
1993-05-01	3.7	27.6	36.8
1993-06-01	9.2	27.1	37.8
1993-07-01	43.6	26.6	36.6
1993-08-01	157.4	25.7	35.5
1993-09-01	73.2	25.7	34.7
1993-10-01	233.3	24.7	31.2
1993-11-01	538.2	24	29.4
1993-12-01	347.9	23	28.6
1994-01-01	19	22.2	29.2
1994-02-01	54.8	23.8	29.8
1994-03-01	3.5	23.7	31.7
1994-04-01	0.9	26.5	33.3
1994-05-01	64.7	27.4	36.9
1994-06-01	0.4	27.3	37.9
1994-07-01	11	26.5	36.5
1994-08-01	1.4	26.3	35.9
1994-09-01	0	26.1	35.3
1994-10-01	182	24.9	31.4
1994-11-01	608.4	23.6	28.9
1994-12-01	155.3	21	29
1995-01-01	117.2	22.3	28.8
1995-02-01	0.6	23.5	29.6
1995-03-01	88.7	23.8	30.8
1995-04-01	3.7	26.6	32.4
1995-05-01	139	26.2	34.2
1995-06-01	54.1	27.1	36.7
1995-07-01	53.3	26.1	35.5
1995-08-01	49.9	26.1	35.5
1995-09-01	56.8	25.8	35
1995-10-01	290.5	25.1	32.5
1995-11-01	409.7	24.3	30.4
1995-12-01	40.2	22	29.6
1996-01-01	7.4	21.9	29.2
1996-02-01	0	22.6	29.8
1996-03-01	0	22.6	30.8
1996-04-01	125.7	26.3	32.2
1996-05-01	1.2	27.8	37.3
1996-06-01	185.7	26.1	33.9
1996-07-01	8.2	26.2	35.4
1996-08-01	4.3	25.9	35.8
1996-09-01	77.4	25.3	32.9
1996-10-01	138.6	24.9	31.9
1996-11-01	124.2	24	30.1
1996-12-01	408.9	22.6	28.7
1997-01-01	20.1	21.9	28.9
1997-02-01	0	21.7	29
1997-03-01	1.2	24.3	31.6
1997-04-01	1.4	25.7	32.2
1997-05-01	16.5	27.2	35.5
1997-06-01	56	27.4	36.7
1997-07-01	67.7	26.2	36
1997-08-01	8.5	26.4	36.2
1997-09-01	175.3	25.9	34.3
1997-10-01	334.1	25.1	30.9
1997-11-01	608.1	24.8	29.9
1997-12-01	585.9	25	29.5
1998-01-01	16.8	23.9	30
1998-02-01	0.3	23.8	30.8
1998-03-01	0	24.9	31.5
1998-04-01	0	27.6	33.9
1998-05-01	124	28.1	35.2
1998-06-01	0.6	28	37.8
1998-07-01	31.2	26.7	36.4
1998-08-01	72.9	25.8	34
1998-09-01	28.5	26	34.4
1998-10-01	107	25.2	32.4
1998-11-01	280.2	24.5	30.7
1998-12-01	500.5	22.7	28.7
1999-01-01	35.2	21	28.7
1999-02-01	108.4	23.5	29.9
1999-03-01	0.6	23.5	31
1999-04-01	45.3	25.6	33.9
1999-05-01	109.8	26	34.9
1999-06-01	6.8	26.1	36.6
1999-07-01	6.6	26.5	36.5
1999-08-01	62.7	26	35.2
1999-09-01	1.6	26	34.8
1999-10-01	288.6	25	30.8
1999-11-01	391.3	23.6	30
1999-12-01	83.9	22.3	29
2000-01-01	292.8	22.7	28.6
2000-02-01	113.7	23.9	29.5
2000-03-01	3.9	23.8	30.8
2000-04-01	6.1	26.4	33.9
2000-05-01	2.2	27.2	36.8
2000-06-01	43.5	26.6	36.1
2000-07-01	26.5	26.1	35.9
2000-08-01	81.5	25.6	34
2000-09-01	104.2	25.5	33.7
2000-10-01	151.3	24.8	32.3
2000-11-01	351.9	24.5	30.2
2000-12-01	195	22	29
2001-01-01	8.7	22.8	28.9
2001-02-01	0	22.2	29.6
2001-03-01	0	24.5	31.6
2001-04-01	55.8	25.9	32.8
2001-05-01	83.5	26.7	37.8
2001-06-01	44.2	26	35.9
2001-07-01	29	26.3	36.6
2001-08-01	54.7	26	35.8
2001-09-01	76.5	25.3	34.2
2001-10-01	236.2	25	31.9
2001-11-01	430.6	24.1	30.2
2001-12-01	439	22.5	28.9
2002-01-01	20.6	22.7	29.6
2002-02-01	325	23.3	29.8
2002-03-01	0	24.4	31.7
2002-04-01	0	26.4	33.5
2002-05-01	13.7	27.5	37.6
2002-06-01	27.5	26.5	36.5
2002-07-01	75.3	26.6	37.4
2002-08-01	19.4	26	36.2
2002-09-01	20.1	25.9	36.4
2002-10-01	358	25	32.3
2002-11-01	330.4	23.8	29.6
2002-12-01	127.6	22.5	29.4
2003-01-01	21.3	22.3	29.4
2003-02-01	0	24.3	31.1
2003-03-01	11.1	24.3	32.3
2003-04-01	15.8	26.3	33.8
2003-05-01	33.2	27.3	36.9
2003-06-01	46.4	27	36.9
2003-07-01	80.4	25.8	35.3
2003-08-01	23.1	25.7	35.3
2003-09-01	58.5	25.9	35.7
2003-10-01	166.6	25.2	32.8
2003-11-01	609.5	24.2	29.8
2003-12-01	47.6	22.8	29.8
2004-01-01	11.8	22	29.9
2004-02-01	0	21.6	31.1
2004-03-01	3.8	24.5	32.4
2004-04-01	0	27	34.1
2004-05-01	323	26	34.5
2004-06-01	1.8	26.2	35.9
2004-07-01	54.8	25.9	35.5
2004-08-01	61.5	25.9	36.7
2004-09-01	297.2	24.8	32.8
2004-10-01	715.7	24.5	31.3
2004-11-01	407.2	24.1	29.3
2004-12-01	75.7	22.7	29.7
